"No.","Name","Price","Quantity"
325,"มะเขือเทศสีดา","20-25","กิโลกรัม"
326,"มะเขือเทศสีดา สีเขียวปนชมพู","18-20","กิโลกรัม"
327,"แตงไทย – เบอร์ใหญ่","15-16","กิโลกรัม"
328,"มะเขือเทศท้อแดงปนเขียว","18-20","กิโลกรัม"
329,"มะเขือเทศท้อแดง","25-30","กิโลกรัม"
330,"ต้นหอม","140-170","กิโลกรัม"
331,"กรีนโอ๊ค","110-130","กิโลกรัม"
332,"แตงกวาญี่ปุ่น","60-70","กิโลกรัม"
333,"เรดโอ๊ค","110-130","กิโลกรัม"
334,"บวบหอม","25-28","กิโลกรัม"
335,"ชะอม","80-100","กิโลกรัม"
336,"ผักบุ้งจีน","14-25","กิโลกรัม"
337,"คะน้าต้น","26-28","กิโลกรัม"
338,"มะระจีน","28-30","กิโลกรัม"
339,"คะน้ายอด","30-40","กิโลกรัม"
340,"แตงกวากลาง","20-22","กิโลกรัม"
341,"บรอกโคลี หัวใหญ่","130-140","กิโลกรัม"
342,"บรอกโคลี หัวเล็ก","120-130","กิโลกรัม"
343,"พริกไทยอ่อน","150-170","กิโลกรัม"
344,"พริกขี้หนูสวน (เม็ดใหญ่-เม็ดเล็ก)","120-230","กิโลกรัม"
345,"พริกขี้หนูแดง (ซุปเปอร์ฮ็อต)","45-70","กิโลกรัม"
346,"กะหล่ำปลีพันธุ์เบา (ไทย) ลอก","15-30","กิโลกรัม"
347,"เบบี้กวางตุ้งไต้หวัน","80-90","กิโลกรัม"
348,"กะหล่ำปลี (ไม่แต่งผล)","9-11","กิโลกรัม"
349,"ถั่วลันเตาแบน","140-160","กิโลกรัม"
350,"กะหล่ำดอก","60-70","กิโลกรัม"
351,"ผักชีไทย","150-190","กิโลกรัม"
352,"คอส","120-130","กิโลกรัม"
353,"พริกขี้หนูเขียว (ซุปเปอร์ฮ็อต)","60-65","กิโลกรัม"
354,"กะหล่ำปลีพันธุ์เบา (ไทย) ไม่ลอก","10-12","กิโลกรัม"
355,"ผักกาดขาวปลี / ไชลุ้ย (จีน) ไม่ลอก","30-40","กิโลกรัม"
356,"มะระขี้นก","16-20","กิโลกรัม"
357,"ใบแมงลัก","30-40","กิโลกรัม"
358,"บร็อคโคลี่","130-140","กิโลกรัม"
359,"มะเขือเปราะ","16-20","กิโลกรัม"
360,"พริกขี้หนูแดง ( จินดา)","45-70","กิโลกรัม"
361,"พริกขี้หนูเขียว ( จินดา)","60-65","กิโลกรัม"
362,"กวางตุ้งดอก","20-24","กิโลกรัม"
363,"ยอดคะน้าฮ่องกง","85-90","กิโลกรัม"
364,"กะหล่ำปลีพันธุ์หนัก (จีน) ไม่ลอก","26-40","กิโลกรัม"
365,"กะหล่ำปลีพันธุ์เบา (จีน) ไม่ลอก","26-40","กิโลกรัม"
366,"แรดิช","100-110","กิโลกรัม"
367,"ผักกาดขาว (ลุ้ยไม่แต่งผล)","17-18","กิโลกรัม"
368,"เห็ดนางฟ้า","70-80","กิโลกรัม"
369,"ผักกาดขาว (ลุ้ย แต่งผล)","40-50","กิโลกรัม"
370,"คึ่นช่าย (ตั้งโอ๋ไทย)","80-120","กิโลกรัม"
371,"กะหล่ำดอกจีน","140-160","กิโลกรัม"
372,"หอมแขก","28-50","กิโลกรัม"
373,"มะเขือม่วง","50-70","กิโลกรัม"
374,"ฟักทองเกษตร ศรีเมือง – เบอร์เล็ก","17-18",""
375,"ฟักทองเกษตร ศรีเมือง – เบอร์กลาง","25-30",""
376,"ฟักทองเกษตร ศิลาทอง – เบอร์เล็ก","17-18",""
377,"ฟักทองเกษตร ศิลาทอง – เบอร์กลาง","25-30",""
378,"ฟักทองเกษตรลาย – เบอร์เล็ก","17-18",""
379,"ใบกุยช่ายขาว","120-140","กิโลกรัม"
380,"หน่อไม้ฝรั่ง A (ดอกตูม)","120-140","กิโลกรัม"
381,"แตงไทย – เบอร์เล็ก","6-7",""
382,"ถั่วเคลือบอบงา","90-100",""
383,"ถั่วสมุนไพร","100-120",""
384,"ถั่วดำ – เล็ก","42-45",""
385,"ถั่วขาว","80-85",""
386,"ใบยี่หร่า – กำ","20-30",""
387,"ระกำเปรี้ยว – เบอร์ใหญ่","0-0",""
388,"ระกำหวาน – เบอร์ใหญ่","0-0",""
389,"ระกำหวาน – เบอร์เล็ก","0-0",""
390,"ระกำหวาน – เบอร์กลาง","0-0",""
391,"ระกำเปรี้ยว – เบอร์กลาง","0-0",""
392,"ยอดฟักแม้ว","40-50","กิโลกรัม"
393,"เห็ดเป๋าฮื้อ","0-0",""
394,"เห็ดหอมแห้งจัมโบ้ – ถุง 1 กิโลกรัม","300-400",""
395,"เห็ดหอมแห้งเล็กและจิ๋ว – ถุง 1 กิโลกรัม","260-280",""
396,"เห็ดหอมแห้งจัมโบ้ลาย – ถุง 1 กิโลกรัม","300-400",""
397,"เห็ดหอมแห้งใหญ่ – ถุง 1 กิโลกรัม","280-300",""
398,"ใบหมากผู้หมากเมีย – กำ (50 ใบ)","0-0",""
399,"พีช (โดนัท) จีน – กล่อง 5-7 กก.","0-0",""
400,"ใบกวนอิมเขียว – กำ (10 ใบ)","0-0",""
401,"ใบซานาดู – กำ (10 ใบ)","0-0",""
